parent_question,profession_question,spearman_correlation,spearman_p_value,pearson_correlation,pearson_p_value,n_pairs
"1. Если уж я чего-то требую от него (нее), то обязательно добьюсь этого.",12. Дает возможности для роста профессионального мастерства,0.14842744454612516,0.30361760857504877,0.10143783390008612,0.4833385199566431,50
"1. Если уж я чего-то требую от него (нее), то обязательно добьюсь этого.",19. Позволяет использовать профессиональные умения вне работы,-0.21494012845444946,0.1338744798262329,-0.20386127799424164,0.1556022436856558,50
"10. Бывает, что разрешаю ему (ей) то, что еще вчера запрещал(а).",12. Дает возможности для роста профессионального мастерства,0.008801950233305137,0.9516251201390515,-0.0132838325878884,0.927048364386919,50
"10. Бывает, что разрешаю ему (ей) то, что еще вчера запрещал(а).",19. Позволяет использовать профессиональные умения вне работы,0.03672012955693663,0.8001379599747503,0.015374459662186061,0.9156058700043181,50
11. Сын (дочь) всегда учитывает мою точку зрения.,12. Дает возможности для роста профессионального мастерства,-0.008529644035575048,0.953119999728925,0.002994065654783131,0.9835361892376886,50
11. Сын (дочь) всегда учитывает мою точку зрения.,19. Позволяет использовать профессиональные умения вне работы,-0.037083421816500456,0.7982017897255149,-0.023209288089501196,0.8728928941451183,50
"12. Я бы хотел(а), чтобы он(а) относился к своим детям так же, как я к нему (к ней).",12. Дает возможности для роста профессионального мастерства,0.22798697997408632,0.11129774003674821,0.2333800140046683,0.10286531461449197,50
"12. Я бы хотел(а), чтобы он(а) относился к своим детям так же, как я к нему (к ней).",19. Позволяет использовать профессиональные умения вне работы,-0.04551301109865655,0.753636196533905,-0.03140810094067606,0.8285786182401995,50
"13. Он(а) редко делает с первого раза то, о чем я прошу.",12. Дает возможности для роста профессионального мастерства,-0.09927857173916003,0.4927463059016943,-0.15175846264764428,0.2927714340890417,50
"13. Он(а) редко делает с первого раза то, о чем я прошу.",19. Позволяет использовать профессиональные умения вне работы,0.15399425602362057,0.28563452606574763,0.1667793655262093,0.24702337677449657,50
14. Я его (ее) очень редко ругаю.,12. Дает возможности для роста профессионального мастерства,0.27780613034911805,0.050779293237066044,0.26985195656015504,0.05806531664043002,50
14. Я его (ее) очень редко ругаю.,19. Позволяет использовать профессиональные умения вне работы,-0.027490029987272683,0.8496985442456981,0.012325588674381811,0.9322980863656707,50
15. Я стараюсь контролировать все его действия и поступки.,12. Дает возможности для роста профессионального мастерства,-0.16777168078463703,0.24418240382624315,-0.1747244235705446,0.22490014483848958,50
15. Я стараюсь контролировать все его действия и поступки.,19. Позволяет использовать профессиональные умения вне работы,0.1482439256662848,0.3042225841014367,0.12350107307020278,0.39284210460696034,50
"16. Считаю, что для него главное — это слушаться меня.",12. Дает возможности для роста профессионального мастерства,0.04139741452823468,0.775305180757184,0.0300556544889144,0.8358560672966011,50
"16. Считаю, что для него главное — это слушаться меня.",19. Позволяет использовать профессиональные умения вне работы,-0.12782752416585602,0.37634417527869646,-0.13995238528969767,0.3323634134278701,50
"17. Если у него (нее) случается несчастье, в первую очередь он(а) делится со мной.",12. Дает возможности для роста профессионального мастерства,-0.012604372612275646,0.9307704695029492,-0.040588747923409954,0.7795834520132594,50
"17. Если у него (нее) случается несчастье, в первую очередь он(а) делится со мной.",19. Позволяет использовать профессиональные умения вне работы,0.007883239473382736,0.9566691977932833,0.006919042731843569,0.9619648153315461,50
18. Я не разделяю его увлечений.,12. Дает возможности для роста профессионального мастерства,0.005264834596182323,0.9710538145102061,-0.01415346292680746,0.9222867647704576,50
18. Я не разделяю его увлечений.,19. Позволяет использовать профессиональные умения вне работы,0.1135351755291218,0.4324226264615074,0.0975238166003679,0.5004610832769446,50
